Keyword,Language,Volume,Difficulty,Current Rank,Week 1,Week 2,Week 3,Week 4,Month 2,Month 3,Target Rank,Priority,Notes
"cargo chine mali",French,High,Low,Not Ranked,,,,,,,1,Critical,Primary keyword
transitaire chine mali,French,High,Low,Not Ranked,,,,,,,1,Critical,Primary keyword
expedition chine,French,High,Medium,Not Ranked,,,,,,,3,Critical,High volume
suivi colis chine,French,High,Medium,Not Ranked,,,,,,,3,Critical,User intent
fret maritime chine,French,Medium,Low,Not Ranked,,,,,,,5,High,Service keyword
fret aerien mali,French,Medium,Low,Not Ranked,,,,,,,5,High,Service keyword
livraison chine mali,French,Medium,Low,Not Ranked,,,,,,,3,High,High intent
import chine afrique,French,Medium,Medium,Not Ranked,,,,,,,5,High,Broad reach
envoyer colis chine vers mali,French,Medium,Low,Not Ranked,,,,,,,5,Medium,Long-tail
transitaire chine bamako,French,Medium,Low,Not Ranked,,,,,,,1,Critical,Location specific
expedition marchandise guangzhou,French,Low,Low,Not Ranked,,,,,,,10,Medium,City specific
fret container chine afrique,French,Low,Low,Not Ranked,,,,,,,10,Medium,Container focus
logistique import export chine,French,Low,Medium,Not Ranked,,,,,,,10,Medium,Business term
douane mali import chine,French,Medium,Low,Not Ranked,,,,,,,5,High,Service related
prix transport maritime chine mali,French,Medium,Low,Not Ranked,,,,,,,5,Medium,Price inquiry
delai livraison chine bamako,French,Medium,Low,Not Ranked,,,,,,,5,Medium,Timing inquiry
agent sourcing chine mali,French,Low,Low,Not Ranked,,,,,,,8,Medium,Sourcing service
achat produit chine livraison mali,French,Low,Low,Not Ranked,,,,,,,8,Medium,Purchase intent
transitaire bamako,French,Medium,Medium,Not Ranked,,,,,,,3,High,Local service
cargo kalaban,French,Low,Low,Not Ranked,,,,,,,5,Low,Neighborhood specific
fret bamako chine,French,Medium,Low,Not Ranked,,,,,,,3,High,Reverse route
import kalaban coura,French,Low,Low,Not Ranked,,,,,,,10,Low,Location specific
colis bamako,French,High,High,Not Ranked,,,,,,,10,Medium,Generic term
cargo chine senegal,French,Medium,Medium,Not Ranked,,,,,,,5,Medium,Expansion market
transitaire chine cote ivoire,French,Medium,Medium,Not Ranked,,,,,,,5,Medium,Expansion market
fret maritime chine burkina,French,Low,Low,Not Ranked,,,,,,,8,Low,Expansion market
expedition chine guinee,French,Low,Low,Not Ranked,,,,,,,8,Low,Expansion market
china to mali shipping,English,Medium,Low,Not Ranked,,,,,,,5,Medium,English market
freight forwarder china africa,English,Medium,Medium,Not Ranked,,,,,,,8,Medium,B2B term
cargo tracking china mali,English,Low,Low,Not Ranked,,,,,,,3,Medium,Feature specific
china sourcing agent,English,High,High,Not Ranked,,,,,,,20,Low,Competitive
import from china to mali,English,Low,Low,Not Ranked,,,,,,,5,Low,English market
sea freight china west africa,English,Medium,Medium,Not Ranked,,,,,,,10,Medium,Regional
air cargo china mali,English,Low,Low,Not Ranked,,,,,,,5,Low,Service specific
logistics app africa,English,Medium,High,Not Ranked,,,,,,,15,Low,Category term
chinalink express,French/English,Low,None,Not Ranked,,,,,,,1,Critical,Branded
chinalink cargo,French/English,Low,None,Not Ranked,,,,,,,1,Critical,Branded
chinalink mali,French/English,Low,None,Not Ranked,,,,,,,1,Critical,Branded
suivi chinalink,French,Low,None,Not Ranked,,,,,,,1,High,Branded+feature
chinalink tracking,French/English,Low,None,Not Ranked,,,,,,,1,High,Branded+feature
